[2026-06-21 22:28:04] WebSocket Attempt
[2026-06-21 22:28:04] WebSocket Accepted
[2026-06-21 22:28:04] Twilio Stream Connected
[2026-06-21 22:28:04] Stream Started: MZ2a153dcfff0434c2f74aa311e245d389
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:04] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:05] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:06] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:07] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:08] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:09] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
[2026-06-21 22:28:10] Media Packet Received
